,Genotype,Infusion
1_WTNoInfusion,WT,No
2_WTNoInfusion,WT,No
3_WTNoInfusion,WT,No
4_WTNoInfusion,WT,No
5_MCT1KONoInfusion,MCT1 KO,No
6_MCT1KONoInfusion,MCT1 KO,No
7_MCT1KONoInfusion,MCT1 KO,No
8_WTSalineInfusion,WT,Saline
9_WTSalineInfusion,WT,Saline
10_WTSalineInfusion,WT,Saline
11_WTSalineInfusion,WT,Saline
12_WTSalineInfusion,WT,Saline
13_WTSalineInfusion,WT,Saline
14_MCT1KOSalineInfusion,MCT1 KO,Saline
15_MCT1KOSalineInfusion,MCT1 KO,Saline
16_MCT1KOSalineInfusion,MCT1 KO,Saline
17_MCT1KOSalineInfusion,MCT1 KO,Saline
18_WTANGPEInfusion,WT,ANGPE
19_WTANGPEInfusion,WT,ANGPE
20_WTANGPEInfusion,WT,ANGPE
21_MCT1KOANGPEInfusion,MCT1 KO,ANGPE
22_MCT1KOANGPEInfusion,MCT1 KO,ANGPE
23_MCT1KOANGPEInfusion,MCT1 KO,ANGPE
24_MCT1KOANGPEInfusion,MCT1 KO,ANGPE
25_MCT1KOANGPEInfusion,MCT1 KO,ANGPE